,rating_id,token,stimuli_id,source_id,media_a_id,source_a,created_at,source_name_vote,nb_replay,reversed,source_position_vote,observer_id,playlist_id,src_name,src_name_bis
14,799959,ao59os5b,16699,5514,43336,tubes/2_videoSRC008_patch1750_5_videoSRC036_patch1064_ref_lvl1_qp33_lvl2_ref_lvl1_qp29_lvl2_reversed.mp4,1643380383,1,0,True,0,observer33062,433,videoSRC008_patch1750,videoSRC036_patch1064
15,799961,ao59os5b,16693,5514,43331,tubes/2_videoSRC008_patch1750_5_videoSRC019_patch2394_ref_lvl1_qp41_lvl3_ref_lvl1_qp41_lvl4.mp4,1643380390,0,0,False,0,observer33062,433,videoSRC008_patch1750,videoSRC019_patch2394
16,799962,ao59os5b,16701,5514,43340,tubes/2_videoSRC008_patch1750_5_videoSRC036_patch2646_ref_lvl1_qp45_lvl4_ref_lvl1_qp55_lvl6_reversed.mp4,1643380398,0,0,True,1,observer33062,433,videoSRC008_patch1750,videoSRC036_patch2646
20,799977,ao59os5b,16674,5527,43613,tubes/5_videoSRC036_patch2646_23_videoSRC007_patch1722_ref_lvl1_qp53_lvl5_ref_lvl1_qp55_lvl6.mp4,1643380443,1,1,False,1,observer33062,433,videoSRC036_patch2646,videoSRC007_patch1722
21,799982,ao59os5b,16667,5527,43628,tubes/5_videoSRC036_patch2646_5_videoSRC036_patch1064_ref_lvl1_qp55_lvl6_ref_lvl1_qp55_lvl6_reversed.mp4,1643380458,1,1,True,0,observer33062,433,videoSRC036_patch2646,videoSRC036_patch1064
22,799983,ao59os5b,16659,5527,43616,tubes/5_videoSRC036_patch2646_23_videoSRC013_patch4403_ref_lvl1_qp47_lvl4_ref_lvl1_qp39_lvl3_reversed.mp4,1643380465,0,0,True,1,observer33062,433,videoSRC036_patch2646,videoSRC013_patch4403
23,799986,ao59os5b,16683,5527,43611,tubes/5_videoSRC036_patch2646_23_videoSRC007_patch1722_ref_lvl1_qp47_lvl4_ref_lvl1_qp47_lvl4.mp4,1643380480,1,1,False,1,observer33062,433,videoSRC036_patch2646,videoSRC007_patch1722
24,799987,ao59os5b,16680,5531,43693,tubes/23_videoSRC007_patch1722_23_videoSRC013_patch4403_ref_lvl1_qp47_lvl4_ref_lvl1_qp39_lvl3.mp4,1643380488,0,0,False,0,observer33062,433,videoSRC007_patch1722,videoSRC013_patch4403
41,800026,ao59os5b,16675,5528,43641,tubes/5_videoSRC037_patch833_29_videoSRC008_patch3633_ref_lvl1_qp45_lvl4_ref_lvl1_qp47_lvl4.mp4,1643380630,1,0,False,1,observer33062,433,videoSRC037_patch833,videoSRC008_patch3633
42,800030,ao59os5b,16702,5526,43606,tubes/5_videoSRC036_patch1064_23_videoSRC007_patch1722_ref_lvl1_qp49_lvl5_ref_lvl1_qp51_lvl5_reversed.mp4,1643380645,1,1,True,0,observer33062,433,videoSRC036_patch1064,videoSRC007_patch1722
0,800308,dg1yeuzl,16675,5528,43642,tubes/5_videoSRC037_patch833_29_videoSRC008_patch3633_ref_lvl1_qp45_lvl4_ref_lvl1_qp47_lvl4_reversed.mp4,1643382632,1,0,True,0,observer33072,433,videoSRC037_patch833,videoSRC008_patch3633
23,800372,dg1yeuzl,16683,5527,43612,tubes/5_videoSRC036_patch2646_23_videoSRC007_patch1722_ref_lvl1_qp47_lvl4_ref_lvl1_qp47_lvl4_reversed.mp4,1643382822,0,0,True,1,observer33072,433,videoSRC036_patch2646,videoSRC007_patch1722
24,800375,dg1yeuzl,16659,5527,43616,tubes/5_videoSRC036_patch2646_23_videoSRC013_patch4403_ref_lvl1_qp47_lvl4_ref_lvl1_qp39_lvl3_reversed.mp4,1643382829,0,0,True,1,observer33072,433,videoSRC036_patch2646,videoSRC013_patch4403
25,800378,dg1yeuzl,16674,5527,43613,tubes/5_videoSRC036_patch2646_23_videoSRC007_patch1722_ref_lvl1_qp53_lvl5_ref_lvl1_qp55_lvl6.mp4,1643382837,1,0,False,1,observer33072,433,videoSRC036_patch2646,videoSRC007_patch1722
26,800380,dg1yeuzl,16667,5527,43628,tubes/5_videoSRC036_patch2646_5_videoSRC036_patch1064_ref_lvl1_qp55_lvl6_ref_lvl1_qp55_lvl6_reversed.mp4,1643382844,0,0,True,1,observer33072,433,videoSRC036_patch2646,videoSRC036_patch1064
30,800389,dg1yeuzl,16699,5514,43336,tubes/2_videoSRC008_patch1750_5_videoSRC036_patch1064_ref_lvl1_qp33_lvl2_ref_lvl1_qp29_lvl2_reversed.mp4,1643382882,1,1,True,0,observer33072,433,videoSRC008_patch1750,videoSRC036_patch1064
31,800391,dg1yeuzl,16693,5514,43331,tubes/2_videoSRC008_patch1750_5_videoSRC019_patch2394_ref_lvl1_qp41_lvl3_ref_lvl1_qp41_lvl4.mp4,1643382889,1,0,False,1,observer33072,433,videoSRC008_patch1750,videoSRC019_patch2394
32,800392,dg1yeuzl,16701,5514,43340,tubes/2_videoSRC008_patch1750_5_videoSRC036_patch2646_ref_lvl1_qp45_lvl4_ref_lvl1_qp55_lvl6_reversed.mp4,1643382897,1,0,True,0,observer33072,433,videoSRC008_patch1750,videoSRC036_patch2646
36,800402,dg1yeuzl,16702,5526,43606,tubes/5_videoSRC036_patch1064_23_videoSRC007_patch1722_ref_lvl1_qp49_lvl5_ref_lvl1_qp51_lvl5_reversed.mp4,1643382933,1,1,True,0,observer33072,433,videoSRC036_patch1064,videoSRC007_patch1722
37,800404,dg1yeuzl,16680,5531,43693,tubes/23_videoSRC007_patch1722_23_videoSRC013_patch4403_ref_lvl1_qp47_lvl4_ref_lvl1_qp39_lvl3.mp4,1643382948,0,1,False,0,observer33072,433,videoSRC007_patch1722,videoSRC013_patch4403
0,800246,l437kntd,16782,5531,43700,tubes/23_videoSRC007_patch1722_29_videoSRC008_patch3633_ref_lvl1_qp43_lvl3_ref_lvl1_qp41_lvl3_reversed.mp4,1643382427,0,2,True,1,observer33073,435,videoSRC007_patch1722,videoSRC008_patch3633
